lon,lat,dist_costa_km,r_droga,r_pesca,r_poluicao,r_imigracao,ais_embarcacoes,ais_rotas
-10.700000000000001,38.15000000000002,120.61175975711726,0.23556,0.01486,0.06595,0.00223,0.06124,0.77965
-10.700000000000001,38.25000000000002,115.5378243825833,0.21452,0.02117,0.06426,0.00209,0.06917,0.79166
-10.700000000000001,38.35000000000002,111.33424147104368,0.19439,0.03161,0.06905,0.0019,0.07978,0.80464
-10.700000000000001,38.450000000000024,108.10259004447903,0.17509,0.05058,0.07795,0.00168,0.09217,0.81568
-10.700000000000001,38.550000000000026,105.93185929755403,0.15655,0.07771,0.08817,0.00143,0.10534,0.82267
-10.700000000000001,38.65000000000003,104.88793945763663,0.13876,0.10422,0.09837,0.00119,0.1178,0.82562
-10.700000000000001,38.75000000000003,105.00444306133396,0.12177,0.11811,0.10614,0.00095,0.12801,0.82615
-10.700000000000001,38.85000000000003,106.2775539382283,0.10567,0.11428,0.10763,0.00074,0.13534,0.82586
-10.700000000000001,38.95000000000003,108.66662812973031,0.09064,0.09865,0.10383,0.00056,0.14057,0.82553
-10.700000000000001,39.05000000000003,112.10033834292038,0.07685,0.08154,0.10104,0.00041,0.14508,0.82528
-10.700000000000001,39.150000000000034,116.48634183297753,0.06444,0.06872,0.10209,0.00029,0.14852,0.82492
-10.700000000000001,39.250000000000036,121.53205432310489,0.05351,0.05961,0.10335,0.0002,0.14838,0.82429
-10.700000000000001,39.35000000000004,126.18245885686426,0.04408,0.05169,0.10149,0.00013,0.14337,0.82362
-10.700000000000001,39.45000000000004,130.76503053079458,0.0361,0.04437,0.09815,8e-05,0.13516,0.82363
-10.700000000000001,39.55000000000004,135.3476022047245,0.02946,0.04014,0.09484,5e-05,0.12618,0.82487
-10.700000000000001,39.65000000000004,139.9301738786548,0.024,0.04322,0.08965,3e-05,0.1179,0.82728
-10.700000000000001,39.75000000000004,144.51274555258476,0.01955,0.05542,0.08262,2e-05,0.11153,0.83049
-10.700000000000001,39.850000000000044,149.09531722651505,0.01592,0.07155,0.0777,1e-05,0.10812,0.83446
-10.700000000000001,39.950000000000045,153.68731640479223,0.01296,0.081,0.0777,1e-05,0.10736,0.83952
-10.700000000000001,40.05000000000005,156.19613645996355,0.01056,0.07679,0.08199,0.0,0.10796,0.8458
-10.700000000000001,40.15000000000005,157.2840697487394,0.0086,0.06134,0.08797,0.0,0.10919,0.8529
-10.700000000000001,40.25000000000005,158.37200303751536,0.00701,0.04331,0.09362,0.0,0.11094,0.86001
-10.700000000000001,40.35000000000005,159.5906112929599,0.00573,0.03045,0.09785,0.0,0.11262,0.86634
-10.700000000000001,40.45000000000005,161.43767484846163,0.00472,0.02649,0.09973,0.0,0.1134,0.87153
-10.700000000000001,40.550000000000054,163.42093866723872,0.00392,0.03485,0.09959,0.0,0.11334,0.87572
-10.700000000000001,40.650000000000055,165.40420248601595,0.00331,0.06064,0.09737,0.0,0.11284,0.87911
-10.700000000000001,40.75000000000006,167.387466304793,0.00283,0.10399,0.09148,0.0,0.11168,0.88152
-10.700000000000001,40.85000000000006,169.3707301235703,0.00246,0.15072,0.08382,0.0,0.10967,0.88253
-10.700000000000001,40.95000000000006,171.06250615517985,0.00216,0.17582,0.07864,0.0,0.10741,0.88217
-10.700000000000001,41.05000000000006,169.75785414228307,0.0019,0.16404,0.0774,0.0,0.10573,0.8812
-10.700000000000001,41.15000000000006,168.0602756008604,0.00167,0.1258,0.08052,0.0,0.10447,0.88055
-10.700000000000001,41.250000000000064,166.3988193437769,0.00146,0.08465,0.08729,0.0,0.10208,0.88042
-10.700000000000001,41.350000000000065,165.2929786612942,0.00126,0.05403,0.09282,0.0,0.09759,0.8804
